Defensemen	Takeaways Corrected	Team
56 Kurtis MacDermid	0.7690917171840268	Colorado Avalanche
57 Mark Borowiecki	0.7665469779997057	Nashville Predators
57 Jakub Zboril	0.7665469779997057	Boston Bruins
57 Tucker Poolman	0.7665469779997057	Vancouver Canucks
57 Austin Strand	0.7665469779997057	Anaheim Ducks
57 Gustav Olofsson	0.7665469779997057	Seattle Kraken
57 Tobias Bjornfot	0.7665469779997057	Los Angeles Kings
57 Jeremy Davies	0.7665469779997057	Buffalo Sabres
57 Dakota Mermis	0.7665469779997057	Minnesota Wild
57 Billy Sweezey	0.7665469779997057	Columbus Blue Jackets
57 Darren Raddysh	0.7665469779997057	Tampa Bay Lightning
57 Michael Kesselring	0.7665469779997057	Arizona Coyotes
57 Frederic Allard	0.7665469779997057	Montréal Canadiens
69 Travis Dermott	0.7650358312130457	Vancouver Canucks
70 Brayden Pachal	0.7632790663813296	Vegas Golden Knights
71 Gustav Forsling	0.7592445761436799	Florida Panthers
72 Jordan Spence	0.7569041160313985	Los Angeles Kings
73 Marco Scandella	0.7566675949043759	St. Louis Blues
74 Ty Smith	0.7543284477975931	Pittsburgh Penguins
75 Dillon Heatherington	0.7522418242268616	Ottawa Senators
76 Maxime Lajoie	0.7506460048187144	Carolina Hurricanes
77 Gabriel Carlsson	0.7477154651234813	Washington Capitals
78 Dennis Cholowski	0.7469734936724893	New York Islanders
79 Radim Simek	0.7463342782579396	San Jose Sharks
80 Dan Renouf	0.7455814576276208	Boston Bruins
81 Filip Kral	0.7455690667852924	Toronto Maple Leafs
82 Lucas Carlsson	0.7455446530963916	Florida Panthers
83 Nikolai Knyzhov	0.7391242898999253	San Jose Sharks
84 Bowen Byram	0.7375531391809644	Colorado Avalanche
85 Dylan McIlrath	0.7355040011435777	Washington Capitals
86 Nick Blankenburg	0.7340800193391809	Columbus Blue Jackets
87 Dennis Gilbert	0.7332535549068574	Calgary Flames
88 Gavin Bayreuther	0.7325944450761662	Columbus Blue Jackets
89 Corey Schueneman	0.7324188577523224	Montréal Canadiens
90 Kyle Capobianco	0.7309625290630963	Winnipeg Jets
91 Urho Vaakanainen	0.7305816284634534	Anaheim Ducks
92 Lawrence Pilut	0.72926376758173	Buffalo Sabres
93 Guillaume Brisebois	0.7277725387423862	Vancouver Canucks
94 Zac Jones	0.7250094570406589	New York Rangers
95 Colton Parayko	0.7238153922153219	St. Louis Blues
96 Vincent Iorio	0.723697015278033	Washington Capitals
97 Brandt Clarke	0.7220921558536615	Los Angeles Kings
98 Brent Burns	0.7210313145812443	Carolina Hurricanes
99 Nathan Beaulieu	0.7206870932274915	Anaheim Ducks
100 Erik Johnson	0.7196100359499984	Colorado Avalanche
101 Mark Friedman	0.719011529010369	Pittsburgh Penguins
102 Joel Hanley	0.7189940148117214	Dallas Stars
103 Ian Mitchell	0.7174926474257525	Chicago Blackhawks
104 Christian Wolanin	0.7160128361928052	Vancouver Canucks
105 Zach Whitecloud	0.7150151749472932	Vegas Golden Knights
106 Kale Clague	0.7102611070851595	Buffalo Sabres
107 Jordan Gross	0.7093819857445456	Nashville Predators
108 Haydn Fleury	0.7090171549907076	Tampa Bay Lightning
109 Steven Santini	0.7089013031315343	St. Louis Blues
110 Roland McKeown	0.7083985176349252	Nashville Predators
111 Nikita Okhotiuk	0.7062520577716745	New Jersey Devils
112 Dylan Coghlan	0.7013135071488621	Carolina Hurricanes
113 Jake Muzzin	0.6990419435154619	Toronto Maple Leafs
114 Alec Martinez	0.6987848189258198	Vegas Golden Knights
115 Jack Rathbone	0.698627706112059	Vancouver Canucks
116 Calvin de Haan	0.698519688219885	Carolina Hurricanes
117 Jonas Siegenthaler	0.6984916134544541	New Jersey Devils
118 Jamie Drysdale	0.6974388696807784	Anaheim Ducks
119 Nick Cicek	0.6950071942457455	San Jose Sharks
120 Kevin Shattenkirk	0.6940329039044049	Anaheim Ducks
121 Samuel Bolduc	0.6939571178761251	New York Islanders
122 Erik Cernak	0.6920198630431045	Tampa Bay Lightning
123 Justin Braun	0.68773966286187	Philadelphia Flyers
124 Jamie Oleksiak	0.6875698782171261	Seattle Kraken
125 Victor Mete	0.6832564569362969	Toronto Maple Leafs
126 Jacob Bernard-Docker	0.6799590054182899	Ottawa Senators
127 Robert Bortuzzo	0.6760989997057903	St. Louis Blues
128 Kyle Burroughs	0.6751554287894345	Vancouver Canucks
129 Daniil Miromanov	0.6750776961875149	Vegas Golden Knights
130 Mike Reilly	0.6713733052031117	Boston Bruins
131 Connor Mackey	0.6709970206006068	Calgary Flames
132 Adam Larsson	0.6691577782055892	Seattle Kraken
133 Jacob Larsson	0.6631072086429913	Ottawa Senators
134 Ville Heinola	0.6616263336504866	Winnipeg Jets
135 K'Andre Miller	0.6555793387934802	New York Rangers
136 Nicolas Hague	0.6538208652880583	Vegas Golden Knights
137 Vincent Desharnais	0.6526621214232555	Edmonton Oilers
138 Jake Walman	0.652621090335704	Detroit Red Wings
139 Kevin Bahl	0.6511667647637474	New Jersey Devils
140 Robin Salo	0.6466730250279616	New York Islanders
141 Libor Hajek	0.644479489123624	New York Rangers
142 Colton White	0.6442025386994432	Anaheim Ducks
143 Riley Stillman	0.6419957456038533	Vancouver Canucks
144 Cam Fowler	0.6386378416001748	Anaheim Ducks
145 Alexander Alexeyev	0.6386246159888713	Washington Capitals
146 Dysin Mayo	0.6385638632890442	Arizona Coyotes
147 Jan Rutta	0.6383788610111589	Pittsburgh Penguins
148 Robert Hagg	0.6351719512611292	Detroit Red Wings
149 Cale Fleury	0.6340668410819564	Seattle Kraken
150 Alec Regula	0.633354331233364	Chicago Blackhawks
151 Matt Kiersted	0.6263363451686238	Florida Panthers
152 Miro Heiskanen	0.6260711322521165	Dallas Stars
153 Egor Zamula	0.6258128902274968	Philadelphia Flyers
154 Logan Stanley	0.6224461595826181	Winnipeg Jets
155 Noah Dobson	0.6223201784584024	New York Islanders
156 Marcus Bjork	0.6166971783760398	Columbus Blue Jackets
157 Justin Faulk	0.6164342748945307	St. Louis Blues
158 Ben Harpur	0.6161318813684684	New York Rangers
159 Kevin Gravel	0.6148004903236294	Nashville Predators
160 Henri Jokiharju	0.6145998167969453	Buffalo Sabres
161 Roman Josi	0.614591631844101	Nashville Predators
162 Alex Goligoski	0.6141992492493368	Minnesota Wild
163 Filip Roos	0.613909815331539	Chicago Blackhawks
164 Tyler Tucker	0.6093319467515258	St. Louis Blues
165 Michael Stone	0.6046066744048479	Calgary Flames
166 Ryan Murray	0.5949827195777277	Edmonton Oilers
167 Matt Irwin	0.5948738038610841	Washington Capitals
168 Will Borgen	0.5941169468715053	Seattle Kraken
169 Ryan Lindgren	0.5899239007174337	New York Rangers
170 Evan Bouchard	0.5815328412900949	Edmonton Oilers
171 Tyson Barrie	0.5776848178100582	Edmonton Oilers
172 Brian Dumoulin	0.5746114369611554	Pittsburgh Penguins
173 Jarred Tinordi	0.5739365877240612	Chicago Blackhawks
174 Marc Staal	0.56514556009524	Florida Panthers
175 Torey Krug	0.565045594426487	St. Louis Blues
176 Conor Timmins	0.5639082906599904	Arizona Coyotes
177 John Carlson	0.5577014719251504	Washington Capitals
178 Nikita Zaitsev	0.553503135112015	Ottawa Senators
179 Seth Jones	0.5503673849141067	Chicago Blackhawks
180 Tim Berni	0.5408475119913608	Columbus Blue Jackets
181 Victor Soderstrom	0.5375339802195113	Arizona Coyotes
182 Brett Kulak	0.5284353468684406	Edmonton Oilers
183 Ian Cole	0.5233577097774387	Tampa Bay Lightning
184 Andrew Peeke	0.5147202732732513	Columbus Blue Jackets
185 Justin Schultz	0.5136967124829337	Seattle Kraken
186 Calle Rosen	0.5073180238200303	St. Louis Blues
187 Carson Soucy	0.5059578937559362	Seattle Kraken
188 Jared Spurgeon	0.49483184723190854	Minnesota Wild
189 Olli Maatta	0.48654873534319293	Detroit Red Wings
190 Brendan Smith	0.48029922778423906	New Jersey Devils
191 Mikey Anderson	0.47971487327492973	Los Angeles Kings
192 Derek Forbort	0.4780419115394576	Boston Bruins
193 Calen Addison	0.4773456523909446	Minnesota Wild
194 Philip Broberg	0.4738758260500852	Edmonton Oilers
195 Vince Dunn	0.4705251987624128	Seattle Kraken
196 Jordan Oesterle	0.46694657187950794	Detroit Red Wings
197 Jordan Harris	0.4603248170127127	Montréal Canadiens
198 Adam Boqvist	0.45419996907800925	Columbus Blue Jackets
199 Dylan Samberg	0.4532721354654729	Winnipeg Jets
200 Gustav Lindstrom	0.43995117512064474	Detroit Red Wings
201 Zach Bogosian	0.43395319909788194	Tampa Bay Lightning
202 Connor Murphy	0.4253430247993222	Chicago Blackhawks
203 Ryan McDonagh	0.4252505835506256	Nashville Predators
204 Jaycob Megna	0.42502583782287484	San Jose Sharks
205 Ethan Bear	0.4245264256869448	Vancouver Canucks
206 TJ Brodie	0.42442869426160257	Toronto Maple Leafs
207 Cam York	0.4190103632784774	Philadelphia Flyers
208 Matt Grzelcyk	0.41834446778518886	Boston Bruins
209 Artem Zub	0.4168782169124869	Ottawa Senators
210 Jordie Benn	0.41332730251766425	Toronto Maple Leafs
211 Radko Gudas	0.40706523965705693	Florida Panthers
212 Troy Stecher	0.38521630850170485	Arizona Coyotes
213 Ben Chiarot	0.3747273003028019	Detroit Red Wings
214 Caleb Jones	0.36921752588871404	Chicago Blackhawks
215 Nick Seeler	0.36229727449079124	Philadelphia Flyers
216 Erik Brannstrom	0.3527252282461336	Ottawa Senators
217 Charlie McAvoy	0.35123803508962825	Boston Bruins
218 Dante Fabbro	0.3493762622280372	Nashville Predators
219 Josh Mahura	0.34682080405407706	Florida Panthers
220 Damon Severson	0.34355520844788834	New Jersey Devils
221 Markus Niemelainen	0.3410771754611701	Edmonton Oilers
222 Martin Fehervary	0.33614015336742925	Washington Capitals
223 Dmitry Orlov	0.3336625299288971	Washington Capitals
224 Justin Barron	0.3310670592275736	Montréal Canadiens
225 Josh Brown	0.32396362464047973	Arizona Coyotes
226 Sean Walker	0.32364145798025357	Los Angeles Kings
227 Jacob Trouba	0.3076152959130689	New York Rangers
228 Chris Tanev	0.3058226461132229	Calgary Flames
229 John Klingberg	0.29043619347733696	Anaheim Ducks
230 Jeff Petry	0.2852305552772924	Pittsburgh Penguins
231 Oliver Ekman-Larsson	0.2818139880102652	Vancouver Canucks
232 Travis Sanheim	0.2786820600391397	Philadelphia Flyers
233 Adam Pelech	0.2681235125834755	New York Islanders
234 Cody Ceci	0.26146486776687056	Edmonton Oilers
235 Brandon Montour	0.25939667520014287	Florida Panthers
236 Jacob MacDonald	0.25799563934463876	Colorado Avalanche
237 Rasmus Ristolainen	0.23808178965399424	Philadelphia Flyers
238 Ryan Suter	0.23037580933642524	Dallas Stars
239 Timothy Liljegren	0.2299944734235052	Toronto Maple Leafs
240 Jeremy Lauzon	0.22775768445913394	Nashville Predators
241 Marcus Pettersson	0.22648089515389072	Pittsburgh Penguins
242 Rasmus Andersson	0.2255333619123706	Calgary Flames
243 Patrik Nemeth	0.21919084138709022	Arizona Coyotes
244 Jakob Chychrun	0.20936187377343765	Arizona Coyotes
245 Nick Holden	0.20774628304910908	Ottawa Senators
246 Tyler Myers	0.1988322547961954	Vancouver Canucks
247 Colin Miller	0.19163294511321705	Dallas Stars
248 Esa Lindell	0.19126128238929663	Dallas Stars
249 Jake Sanderson	0.19061980903478645	Ottawa Senators
250 Trevor van Riemsdyk	0.1900988601510656	Washington Capitals
251 Nick Jensen	0.1898650965637549	Washington Capitals
252 Alexander Edler	0.18717537106181473	Los Angeles Kings
253 Mike Matheson	0.1817058386553297	Montréal Canadiens
254 Mattias Ekholm	0.17273714409738955	Nashville Predators
255 Luke Schenn	0.17213195940890175	Vancouver Canucks
256 Ryan Pulock	0.170361431825006	New York Islanders
257 Justin Holl	0.1695960214676741	Toronto Maple Leafs
258 Neal Pionk	0.16886820888463244	Winnipeg Jets
259 Matt Benning	0.1536549606902637	San Jose Sharks
260 Rasmus Dahlin	0.15314192712345084	Buffalo Sabres
261 Erik Karlsson	0.1519843007231151	San Jose Sharks
262 Ryan Graves	0.1492362759400702	New Jersey Devils
263 Dylan DeMelo	0.14487294569554127	Winnipeg Jets
264 Filip Hronek	0.1438679787197101	Detroit Red Wings
265 Erik Gudbranson	0.14286637460387683	Columbus Blue Jackets
266 Erik Gustafsson	0.13989773369916347	Washington Capitals
267 Sebastian Aho	0.1360427578678801	New York Islanders
268 Niko Mikkola	0.13170810740351854	St. Louis Blues
269 Chris Wideman	0.12260713059734359	Montréal Canadiens
270 J.J. Moser	0.11876005489250566	Arizona Coyotes
271 Kris Letang	0.11525752043055301	Pittsburgh Penguins
272 Braden Schneider	0.11498759611095044	New York Rangers
273 Matt Dumba	0.11309397603059566	Minnesota Wild
274 Josh Morrissey	0.1112157548152194	Winnipeg Jets
275 Victor Hedman	0.1100359002513351	Tampa Bay Lightning
276 Shayne Gostisbehere	0.10861680169888814	Arizona Coyotes
277 Nils Lundkvist	0.10606697396092885	Dallas Stars
278 Moritz Seider	0.1005786207707917	Detroit Red Wings
279 Rasmus Sandin	0.0991976340384762	Toronto Maple Leafs
280 Kaiden Guhle	0.09130479043678555	Montréal Canadiens
281 Arber Xhekaj	0.08694916745044771	Montréal Canadiens
282 Owen Power	0.08286886531258966	Buffalo Sabres
283 Nikita Zadorov	0.08125177651183127	Calgary Flames
284 Simon Benoit	0.07901957326641172	Anaheim Ducks
285 Mark Giordano	0.07306151329947948	Toronto Maple Leafs
286 Hampus Lindholm	0.06863204975450782	Boston Bruins
287 Connor Clifton	0.06771096658221118	Boston Bruins
288 Jack Johnson	0.05685002752262551	Chicago Blackhawks
289 Juuso Valimaki	0.05539789049090065	Arizona Coyotes
290 Aaron Ekblad	0.047447740571072074	Florida Panthers
291 Brenden Dillon	0.046993760213458795	Winnipeg Jets
292 MacKenzie Weegar	0.04544528391822354	Calgary Flames
293 Jani Hakanpää	0.03704348174315474	Dallas Stars
294 Tony DeAngelo	0.03383160565901723	Philadelphia Flyers
295 Alexander Romanov	0.030215086016729734	New York Islanders
296 Nate Schmidt	0.028336217359154266	Winnipeg Jets
297 Sean Durzi	0.02347438383480113	Los Angeles Kings
298 Dmitry Kulikov	0.020932564245714522	Anaheim Ducks
299 Drew Doughty	0.018045435022699775	Los Angeles Kings
300 Travis Hamonic	0.016999372880084074	Ottawa Senators
301 Morgan Rielly	0.016269807305962683	Toronto Maple Leafs
302 Matt Roy	0.012444737233167547	Los Angeles Kings
303 Scott Mayfield	0.01010836248917144	New York Islanders
304 David Savard	0.007828482029144473	Montréal Canadiens
305 Ivan Provorov	0.0072253927071369226	Philadelphia Flyers
306 Joel Edmundson	0.006502928643061355	Montréal Canadiens
307 Johnathan Kovacevic	0.003738465094839014	Montréal Canadiens
308 Thomas Chabot	0.003675190570904803	Ottawa Senators
309 Dougie Hamilton	0.003640422143809181	New Jersey Devils
310 Darnell Nurse	0.002783193890454508	Edmonton Oilers
