Rating Date,Team,Division,Clutch Rating
30/10/2021 (v5.0),New Jersey Devils,MET,0.8222697663912272
30/10/2021 (v5.0),New York Islanders,MET,0.21801561988455942
30/10/2021 (v5.0),New York Rangers,MET,0.9088772460338497
30/10/2021 (v5.0),Ottawa Senators,ATL,0.11466659542352499
30/10/2021 (v5.0),Philadelphia Flyers,MET,0.5
30/10/2021 (v5.0),Pittsburgh Penguins,MET,0.5
30/10/2021 (v5.0),San Jose Sharks,PAC,0.6487009569144423
30/10/2021 (v5.0),Seattle Kraken,PAC,0.14333423696389977
30/10/2021 (v5.0),St. Louis Blues,CEN,0.8224937406177024
30/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.682799566580372
30/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.7355048938629279
30/10/2021 (v5.0),Vancouver Canucks,PAC,0.22676513567624826
30/10/2021 (v5.0),Vegas Golden Knights,PAC,0.624947248024091
30/10/2021 (v5.0),Washington Capitals,MET,0.16658837061111845
30/10/2021 (v5.0),Winnipeg Jets,CEN,0.5
27/11/2021 (v5.0),Anaheim Ducks,PAC,0.6173701097929276
27/11/2021 (v5.0),Arizona Coyotes,CEN,0.024602332414326283
27/11/2021 (v5.0),Boston Bruins,ATL,0.6991669825579427
27/11/2021 (v5.0),Buffalo Sabres,ATL,0.23300840895885974
27/11/2021 (v5.0),Calgary Flames,CEN,0.35269802936416295
27/11/2021 (v5.0),Carolina Hurricanes,MET,0.9202441795734188
27/11/2021 (v5.0),Chicago Blackhawks,CEN,0.26241235330947704
27/11/2021 (v5.0),Colorado Avalanche,CEN,0.36397933983912634
27/11/2021 (v5.0),Columbus Blue Jackets,MET,0.7352064950940623
27/11/2021 (v5.0),Dallas Stars,CEN,0.4438873062128714
27/11/2021 (v5.0),Detroit Red Wings,ATL,0.3837171080470412
27/11/2021 (v5.0),Edmonton Oilers,PAC,0.7884489682468614
27/11/2021 (v5.0),Florida Panthers,ATL,0.6451987533594556
27/11/2021 (v5.0),Los Angeles Kings,PAC,0.5968925013421634
27/11/2021 (v5.0),Minnesota Wild,CEN,0.7434798585906819
27/11/2021 (v5.0),Montreal Canadiens,ATL,0.23246079632693642
27/11/2021 (v5.0),Nashville Predators,CEN,0.7352064950940624
27/11/2021 (v5.0),New Jersey Devils,MET,0.5336822809366751
27/11/2021 (v5.0),New York Islanders,MET,0.19978028036990333
27/11/2021 (v5.0),New York Rangers,MET,0.5708206854217659
27/11/2021 (v5.0),Ottawa Senators,ATL,0.17750625938229755
27/11/2021 (v5.0),Philadelphia Flyers,MET,0.28153348962167124
27/11/2021 (v5.0),Pittsburgh Penguins,MET,0.4239284941389105
27/11/2021 (v5.0),San Jose Sharks,PAC,0.5655538757938632
27/11/2021 (v5.0),Seattle Kraken,PAC,0.2230231999252826
27/11/2021 (v5.0),St. Louis Blues,CEN,0.4735746163920439
27/11/2021 (v5.0),Tampa Bay Lightning,ATL,0.7131640421130535
27/11/2021 (v5.0),Toronto Maple Leafs,ATL,0.7515820677480392
27/11/2021 (v5.0),Vancouver Canucks,PAC,0.41944137503039497
27/11/2021 (v5.0),Vegas Golden Knights,PAC,0.7078023218302841
27/11/2021 (v5.0),Washington Capitals,MET,0.39942365826046006
27/11/2021 (v5.0),Winnipeg Jets,CEN,0.5545981539389213
25/12/2021 (v5.0),Anaheim Ducks,PAC,0.5458707061333699
25/12/2021 (v5.0),Arizona Coyotes,CEN,0.32724602282801596
25/12/2021 (v5.0),Boston Bruins,ATL,0.6597994705268672
25/12/2021 (v5.0),Buffalo Sabres,ATL,0.18248494679541144
25/12/2021 (v5.0),Calgary Flames,CEN,0.3540995457575694
25/12/2021 (v5.0),Carolina Hurricanes,MET,0.7346090517360676
25/12/2021 (v5.0),Chicago Blackhawks,CEN,0.2585725226555584
25/12/2021 (v5.0),Colorado Avalanche,CEN,0.46441025003672637
25/12/2021 (v5.0),Columbus Blue Jackets,MET,0.4351997641877419
25/12/2021 (v5.0),Dallas Stars,CEN,0.38880602173993556
25/12/2021 (v5.0),Detroit Red Wings,ATL,0.4038455945163533
25/12/2021 (v5.0),Edmonton Oilers,PAC,0.6700476921907883
25/12/2021 (v5.0),Florida Panthers,ATL,0.7564169079581974
25/12/2021 (v5.0),Los Angeles Kings,PAC,0.5987358158223214
25/12/2021 (v5.0),Minnesota Wild,CEN,0.6285342616095887
25/12/2021 (v5.0),Montreal Canadiens,ATL,0.2037312850638022
25/12/2021 (v5.0),Nashville Predators,CEN,0.7150423094578386
25/12/2021 (v5.0),New Jersey Devils,MET,0.37757187544850596
25/12/2021 (v5.0),New York Islanders,MET,0.28652239975474936
25/12/2021 (v5.0),New York Rangers,MET,0.5401633248898338
25/12/2021 (v5.0),Ottawa Senators,ATL,0.28153348962167124
25/12/2021 (v5.0),Philadelphia Flyers,MET,0.24613473855456858
25/12/2021 (v5.0),Pittsburgh Penguins,MET,0.4839055445860205
25/12/2021 (v5.0),San Jose Sharks,PAC,0.5827972473151091
25/12/2021 (v5.0),Seattle Kraken,PAC,0.27782667888853185
25/12/2021 (v5.0),St. Louis Blues,CEN,0.6046154486884948
25/12/2021 (v5.0),Tampa Bay Lightning,ATL,0.7065322207312791
25/12/2021 (v5.0),Toronto Maple Leafs,ATL,0.717845792354268
25/12/2021 (v5.0),Vancouver Canucks,PAC,0.5481503725693925
25/12/2021 (v5.0),Vegas Golden Knights,PAC,0.8062775463303439
25/12/2021 (v5.0),Washington Capitals,MET,0.3797364049873287
25/12/2021 (v5.0),Winnipeg Jets,CEN,0.5428281728953371
29/1/2021 (v5.0),Anaheim Ducks,PAC,0.402369841300342
29/1/2021 (v5.0),Arizona Coyotes,CEN,0.43935004876306083
29/1/2021 (v5.0),Boston Bruins,ATL,0.6747761869177948
29/1/2021 (v5.0),Buffalo Sabres,ATL,0.1605059379278111
29/1/2021 (v5.0),Calgary Flames,CEN,0.36682376670878386
29/1/2021 (v5.0),Carolina Hurricanes,MET,0.7475524904494766
29/1/2021 (v5.0),Chicago Blackhawks,CEN,0.267488768566771
29/1/2021 (v5.0),Colorado Avalanche,CEN,0.7628559162022421
29/1/2021 (v5.0),Columbus Blue Jackets,MET,0.3804589841473431
29/1/2021 (v5.0),Dallas Stars,CEN,0.5222187151582455
29/1/2021 (v5.0),Detroit Red Wings,ATL,0.4333162333154215
29/1/2021 (v5.0),Edmonton Oilers,PAC,0.6024140314496164
29/1/2021 (v5.0),Florida Panthers,ATL,0.8520875291925979
29/1/2021 (v5.0),Los Angeles Kings,PAC,0.5371149785745991
29/1/2021 (v5.0),Minnesota Wild,CEN,0.7405446187118169
29/1/2021 (v5.0),Montreal Canadiens,ATL,0.16680136260664188
29/1/2021 (v5.0),Nashville Predators,CEN,0.6480017812556763
29/1/2021 (v5.0),New Jersey Devils,MET,0.35691009047476097
29/1/2021 (v5.0),New York Islanders,MET,0.3902645136113815
29/1/2021 (v5.0),New York Rangers,MET,0.5564911669879752
29/1/2021 (v5.0),Ottawa Senators,ATL,0.2995445545986634
29/1/2021 (v5.0),Philadelphia Flyers,MET,0.23548376654726452
29/1/2021 (v5.0),Pittsburgh Penguins,MET,0.6673300935607661
29/1/2021 (v5.0),San Jose Sharks,PAC,0.48467145492422176
29/1/2021 (v5.0),Seattle Kraken,PAC,0.24076903588561582
29/1/2021 (v5.0),St. Louis Blues,CEN,0.7023822026514998
29/1/2021 (v5.0),Tampa Bay Lightning,ATL,0.6104649793632373
29/1/2021 (v5.0),Toronto Maple Leafs,ATL,0.6814696944702779
29/1/2021 (v5.0),Vancouver Canucks,PAC,0.47778128484175436
29/1/2021 (v5.0),Vegas Golden Knights,PAC,0.680470344678442
29/1/2021 (v5.0),Washington Capitals,MET,0.42505226699902665
29/1/2021 (v5.0),Winnipeg Jets,CEN,0.43143462733265675
26/2/2021 (v5.0),Anaheim Ducks,PAC,0.4005276365082007
26/2/2021 (v5.0),Arizona Coyotes,CEN,0.3804589841473429
26/2/2021 (v5.0),Boston Bruins,ATL,0.5753224106274771
26/2/2021 (v5.0),Buffalo Sabres,ATL,0.14484705665344846
26/2/2021 (v5.0),Calgary Flames,CEN,0.49923333310084084
26/2/2021 (v5.0),Carolina Hurricanes,MET,0.6890755296358101
26/2/2021 (v5.0),Chicago Blackhawks,CEN,0.3079755522714509
26/2/2021 (v5.0),Colorado Avalanche,CEN,0.7702637921371086
26/2/2021 (v5.0),Columbus Blue Jackets,MET,0.5527035554553288
26/2/2021 (v5.0),Dallas Stars,CEN,0.4888851526281971
26/2/2021 (v5.0),Detroit Red Wings,ATL,0.43105854172594743
26/2/2021 (v5.0),Edmonton Oilers,PAC,0.6331762332912162
26/2/2021 (v5.0),Florida Panthers,ATL,0.8273652795424062
26/2/2021 (v5.0),Los Angeles Kings,PAC,0.5987358158223214
26/2/2021 (v5.0),Minnesota Wild,CEN,0.6673300935607661
26/2/2021 (v5.0),Montreal Canadiens,ATL,0.24899094099959346
26/2/2021 (v5.0),Nashville Predators,CEN,0.5809319616586864
26/2/2021 (v5.0),New Jersey Devils,MET,0.3289361179809721
26/2/2021 (v5.0),New York Islanders,MET,0.41682997793436316
26/2/2021 (v5.0),New York Rangers,MET,0.6285342616095887
26/2/2021 (v5.0),Ottawa Senators,ATL,0.3654003791761065
26/2/2021 (v5.0),Philadelphia Flyers,MET,0.2224922469398821
26/2/2021 (v5.0),Pittsburgh Penguins,MET,0.6720784738387439
26/2/2021 (v5.0),San Jose Sharks,PAC,0.44275208372077446
26/2/2021 (v5.0),Seattle Kraken,PAC,0.20497783555850863
26/2/2021 (v5.0),St. Louis Blues,CEN,0.6991669825579427
26/2/2021 (v5.0),Tampa Bay Lightning,ATL,0.6430899095252389
26/2/2021 (v5.0),Toronto Maple Leafs,ATL,0.6804703446784423
26/2/2021 (v5.0),Vancouver Canucks,PAC,0.536352449285849
26/2/2021 (v5.0),Vegas Golden Knights,PAC,0.6238684430507228
26/2/2021 (v5.0),Washington Capitals,MET,0.39026451361138165
26/2/2021 (v5.0),Winnipeg Jets,CEN,0.45565014668305864
05/03/2021 (v5.0),Anaheim Ducks,PAC,0.402369841300342
05/03/2021 (v5.0),Arizona Coyotes,CEN,0.34711745807342775
05/03/2021 (v5.0),Boston Bruins,ATL,0.621346463895087
05/03/2021 (v5.0),Buffalo Sabres,ATL,0.15927016226239427
05/03/2021 (v5.0),Calgary Flames,CEN,0.47663367379880717
05/03/2021 (v5.0),Carolina Hurricanes,MET,0.7115931792063669
05/03/2021 (v5.0),Chicago Blackhawks,CEN,0.27629106794009367
05/03/2021 (v5.0),Colorado Avalanche,CEN,0.7912485968931999
05/03/2021 (v5.0),Columbus Blue Jackets,MET,0.4590750488376719
05/03/2021 (v5.0),Dallas Stars,CEN,0.5397824411696234
05/03/2021 (v5.0),Detroit Red Wings,ATL,0.4389723904529224
05/03/2021 (v5.0),Edmonton Oilers,PAC,0.6199023718559222
05/03/2021 (v5.0),Florida Panthers,ATL,0.8306257255456041
05/03/2021 (v5.0),Los Angeles Kings,PAC,0.571947246034703
05/03/2021 (v5.0),Minnesota Wild,CEN,0.6737658902438192
05/03/2021 (v5.0),Montreal Canadiens,ATL,0.28277575557877394
05/03/2021 (v5.0),Nashville Predators,CEN,0.5681892079738032
05/03/2021 (v5.0),New Jersey Devils,MET,0.3384817500933189
05/03/2021 (v5.0),New York Islanders,MET,0.4034764919669519
05/03/2021 (v5.0),New York Rangers,MET,0.6535772056982229
05/03/2021 (v5.0),Ottawa Senators,ATL,0.35655822860204883
05/03/2021 (v5.0),Philadelphia Flyers,MET,0.21206299617125726
05/03/2021 (v5.0),Pittsburgh Penguins,MET,0.6646013159222552
05/03/2021 (v5.0),San Jose Sharks,PAC,0.43746246817695467
05/03/2021 (v5.0),Seattle Kraken,PAC,0.2107847818952269
05/03/2021 (v5.0),St. Louis Blues,CEN,0.6427378932183293
05/03/2021 (v5.0),Tampa Bay Lightning,ATL,0.6281761896727758
05/03/2021 (v5.0),Toronto Maple Leafs,ATL,0.6451987533594558
05/03/2021 (v5.0),Vancouver Canucks,PAC,0.5734481653492602
05/03/2021 (v5.0),Vegas Golden Knights,PAC,0.6162828919529588
05/03/2021 (v5.0),Washington Capitals,MET,0.40310749865783646
05/03/2021 (v5.0),Winnipeg Jets,CEN,0.4931004304800647
